"customerID","PaymentMethod","MonthlyCharges","TotalCharges","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","Churn"
"0228-MAUWC","Electronic check",59.55,"1144.6","Male","0","No","No","19","Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","No"
"0229-LFJAF","Bank transfer (automatic)",69.65,"4908.25","Male","0","No","No","72","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","No"
"0230-UBYPQ","Bank transfer (automatic)",36.1,"2298.9","Male","1","Yes","No","63","No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","No","No"
"0230-WEQUW","Bank transfer (automatic)",56.6,"3789.2","Male","0","Yes","No","66","No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","No"
"0231-LXVAP","Electronic check",75.9,"75.9","Male","0","No","No","1","Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Yes"
"0233-FTHAV","Bank transfer (automatic)",79.2,"4765","Female","0","No","No","60","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","One year","Yes","No"
"0234-TEVTT","Credit card (automatic)",45,"2196.3","Female","0","Yes","Yes","48","No","No phone service","DSL","Yes","No","Yes","No","No","Yes","One year","No","No"
"0235-KGSLC","Credit card (automatic)",85.55,"85.55","Female","0","No","No","1","Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Yes"
"0236-HFWSV","Electronic check",93.35,"1444.65","Male","0","No","No","15","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Yes"
"0237-YFUTL","Bank transfer (automatic)",109.65,"5405.8","Female","0","Yes","No","50","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","No"
"0238-WHBIQ","Credit card (automatic)",89.7,"6339.3","Male","0","Yes","Yes","72","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0239-OXEXL","Mailed check",84.25,"3847.6","Female","0","No","No","46","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","No","No"
"0244-LGNFY","Bank transfer (automatic)",92.65,"6733","Female","0","Yes","Yes","72","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","No"
"0248-IPDFW","Electronic check",50.1,"50.1","Female","0","No","No","1","Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","No"
"0248-PGHBZ","Bank transfer (automatic)",92.45,"6140.85","Female","1","No","No","67","Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","No"
"0253-ZTEOB","Electronic check",79.65,"3870.3","Female","0","Yes","Yes","48","Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","Two year","No","No"
"0254-FNMCI","Electronic check",109.9,"7624.2","Female","0","No","No","72","Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0254-KCJGT","Credit card (automatic)",81.4,"4354.45","Male","0","Yes","No","52","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","No"
"0254-WWRKD","Credit card (automatic)",50.55,"3431.75","Female","0","Yes","Yes","67","Yes","No","DSL","No","Yes","No","No","No","No","One year","No","No"
"0256-LTHVJ","Electronic check",81.05,"2227.1","Female","0","Yes","Yes","28","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Yes"
"0257-KXZGU","Bank transfer (automatic)",62.45,"2045.55","Female","0","Yes","Yes","32","Yes","Yes","DSL","No","Yes","Yes","No","No","No","Month-to-month","No","No"
"0257-ZESQC","Bank transfer (automatic)",75.2,"1929.35","Female","1","Yes","No","27","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Yes"
"0258-NOKBL","Electronic check",90.4,"268.45","Male","0","No","No","3","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","No","No"
"0259-GBZSH","Electronic check",85.65,"181.5","Male","0","No","No","2","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Yes"
"0263-FJTQO","Credit card (automatic)",70.5,"3486.65","Male","0","Yes","Yes","50","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Two year","Yes","No"
"0264-CNITK","Bank transfer (automatic)",20.1,"1389.6","Female","0","Yes","Yes","71","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","No"
"0265-EDXBD","Electronic check",74.9,"2303.35","Male","1","Yes","No","32","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Yes"
"0265-PSUAE","Bank transfer (automatic)",100.7,"1522.7","Female","0","Yes","Yes","16","Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","No"
"0266-CLZKZ","Bank transfer (automatic)",105.65,"6717.9","Female","0","Yes","Yes","67","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0266-GMEAO","Credit card (automatic)",114.3,"8058.55","Male","0","Yes","Yes","72","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","No"
"0268-QKIWO","Electronic check",19.75,"58.85","Female","0","No","No","3","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Yes"
"0269-XFESX","Mailed check",24.35,"538.5","Male","0","Yes","Yes","23","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","No"
"0270-THENM","Bank transfer (automatic)",69.85,"5102.35","Male","0","Yes","Yes","72","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","No"
"0274-JKUJR","Mailed check",58.85,"465.7","Male","0","Yes","Yes","7","No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","No"
"0277-BKSQP","Electronic check",54.4,"475.1","Male","0","Yes","Yes","8","Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","No"
"0277-ORXQS","Bank transfer (automatic)",50.55,"3364.55","Male","0","Yes","Yes","66","No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Two year","No","No"
"0278-YXOOG","Mailed check",21.05,"113.85","Male","0","No","No","5","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Yes"
"0281-CNTZX","Bank transfer (automatic)",19.95,"1234.8","Male","0","Yes","No","63","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","No"
"0282-NVSJS","Mailed check",29.3,"355.9","Female","1","Yes","Yes","12","No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","No"
