pre_date,Brand,SKU10,DemandCustomer,Year,Quarter,Month_No,Week_No,Sales,W_Nielsen
2017-02-16,0,2,0,2017,1,2,7,580.0,0.0
2017-02-23,0,2,0,2017,1,2,8,671.0,0.0
2017-03-02,0,2,0,2017,1,3,9,2468.0,0.0
2017-03-09,0,2,0,2017,1,3,10,1880.0,0.0
2017-03-16,0,2,0,2017,1,3,11,1334.0,0.0
2017-03-23,0,2,0,2017,1,3,12,2302.0,0.0
2017-03-30,0,2,0,2017,1,3,13,2056.0,0.0
2017-04-06,0,2,0,2017,2,4,14,974.0,0.0
2017-04-13,0,2,0,2017,2,4,15,748.0,0.0
2017-04-20,0,2,0,2017,2,4,16,2105.0,0.0
2017-04-27,0,2,0,2017,2,4,17,1085.0,0.0
2017-05-04,0,2,0,2017,2,5,18,864.0,0.0
2017-05-11,0,2,0,2017,2,5,19,1394.0,0.0
2017-05-18,0,2,0,2017,2,5,20,1290.0,0.0
2017-05-25,0,2,0,2017,2,5,21,2286.0,0.0
2017-06-01,0,2,0,2017,2,6,22,1862.0,0.0
2017-06-08,0,2,0,2017,2,6,23,851.0,0.0
2017-06-15,0,2,0,2017,2,6,24,967.0,0.0
2017-06-22,0,2,0,2017,2,6,25,790.0,0.0
2017-06-29,0,2,0,2017,2,6,26,1626.0,0.0
2017-07-06,0,2,0,2017,3,7,27,871.0,0.0
2017-07-13,0,2,0,2017,3,7,28,1330.0,0.0
2017-07-20,0,2,0,2017,3,7,29,987.0,0.0
2017-07-27,0,2,0,2017,3,7,30,869.0,0.0
2017-08-03,0,2,0,2017,3,8,31,860.0,0.0
2017-08-10,0,2,0,2017,3,8,32,1177.0,0.0
2017-08-17,0,2,0,2017,3,8,33,1299.0,0.0
2017-08-24,0,2,0,2017,3,8,34,773.0,0.0
2017-08-31,0,2,0,2017,3,9,35,1748.0,0.0
2017-09-07,0,2,0,2017,3,9,36,701.0,0.0
2017-09-14,0,2,0,2017,3,9,37,904.0,0.0
2017-09-21,0,2,0,2017,3,9,38,1284.0,0.0
2017-09-28,0,2,0,2017,3,9,39,1144.0,0.0
2017-10-05,0,2,0,2017,4,10,40,676.0,0.0
2017-10-12,0,2,0,2017,4,10,41,1470.0,0.0
2017-10-19,0,2,0,2017,4,10,42,1380.0,0.0
2017-10-26,0,2,0,2017,4,10,43,1107.0,0.0
2017-11-02,0,2,0,2017,4,11,44,1529.0,0.0
2017-11-09,0,2,0,2017,4,11,45,923.0,0.0
2017-11-16,0,2,0,2017,4,11,46,932.0,0.0
2017-11-23,0,2,0,2017,4,11,47,336.0,0.0
2017-11-30,0,2,0,2017,4,12,48,1151.0,0.0
2017-12-07,0,2,0,2017,4,12,49,1033.0,0.0
2017-12-14,0,2,0,2017,4,12,50,1685.0,0.0
2017-12-21,0,2,0,2017,4,12,51,1927.0,0.0
2017-12-28,0,2,0,2017,4,12,52,2379.0,0.0
2018-01-04,0,2,0,2018,1,1,1,127.0,0.0
2018-01-11,0,2,0,2018,1,1,2,866.0,0.0
2018-01-18,0,2,0,2018,1,1,3,1564.0,0.0
2018-01-25,0,2,0,2018,1,1,4,542.0,0.0
2018-02-01,0,2,0,2018,1,2,5,928.0,0.0
2018-02-08,0,2,0,2018,1,2,6,1188.0,0.0
2018-02-15,0,2,0,2018,1,2,7,765.0,0.0
2018-02-22,0,2,0,2018,1,2,8,1665.0,0.0
2018-03-01,0,2,0,2018,1,3,9,1114.0,0.0
2018-03-08,0,2,0,2018,1,3,10,856.0,0.0
2018-03-15,0,2,0,2018,1,3,11,792.0,0.0
2018-03-22,0,2,0,2018,1,3,12,875.0,0.0
2018-03-29,0,2,0,2018,1,3,13,1052.0,0.0
2018-04-05,0,2,0,2018,2,4,14,1276.0,0.0
2018-04-12,0,2,0,2018,2,4,15,1066.0,0.0
2018-04-19,0,2,0,2018,2,4,16,1270.0,0.0
2018-04-26,0,2,0,2018,2,4,17,724.0,0.0
2018-05-03,0,2,0,2018,2,5,18,719.0,0.0
2018-05-10,0,2,0,2018,2,5,19,923.0,0.0
2018-05-17,0,2,0,2018,2,5,20,1387.0,0.0
2018-05-24,0,2,0,2018,2,5,21,1515.0,0.0
2018-05-31,0,2,0,2018,2,6,22,1796.0,0.0
2018-06-07,0,2,0,2018,2,6,23,926.0,0.0
2018-06-14,0,2,0,2018,2,6,24,1065.0,0.0
2018-06-21,0,2,0,2018,2,6,25,1748.0,0.0
2018-06-28,0,2,0,2018,2,6,26,1139.0,0.0
2018-07-05,0,2,0,2018,3,7,27,1352.0,0.0
2018-07-12,0,2,0,2018,3,7,28,954.0,0.0
2018-07-19,0,2,0,2018,3,7,29,486.0,0.0
2018-07-26,0,2,0,2018,3,7,30,977.0,0.0
2018-08-02,0,2,0,2018,3,8,31,731.0,0.0
2018-08-09,0,2,0,2018,3,8,32,698.0,0.0
2018-08-16,0,2,0,2018,3,8,33,1071.0,0.0
2018-08-23,0,2,0,2018,3,8,34,1499.0,0.0
2018-08-30,0,2,0,2018,3,9,35,1596.0,0.0
2018-09-06,0,2,0,2018,3,9,36,688.0,0.0
2018-09-13,0,2,0,2018,3,9,37,1059.0,0.0
2018-09-20,0,2,0,2018,3,9,38,1328.0,0.0
2018-09-27,0,2,0,2018,3,9,39,1157.0,0.0
2018-10-04,0,2,0,2018,4,10,40,542.0,0.0
2018-10-11,0,2,0,2018,4,10,41,892.0,0.0
2018-10-18,0,2,0,2018,4,10,42,977.0,0.0
2018-10-25,0,2,0,2018,4,10,43,839.0,0.0
2018-11-01,0,2,0,2018,4,11,44,1211.0,0.0
2018-11-08,0,2,0,2018,4,11,45,841.0,0.0
2018-11-15,0,2,0,2018,4,11,46,802.0,0.0
2018-11-22,0,2,0,2018,4,11,47,682.0,0.0
2018-11-29,0,2,0,2018,4,12,48,1327.0,0.0
2018-12-06,0,2,0,2018,4,12,49,1029.0,0.0
2018-12-13,0,2,0,2018,4,12,50,1231.0,0.0
2018-12-20,0,2,0,2018,4,12,51,2355.0,0.0
2018-12-27,0,2,0,2018,4,12,52,1225.0,0.0
2019-01-03,0,2,0,2019,1,1,1,990.0,0.0
2019-01-10,0,2,0,2019,1,1,2,663.0,0.0
2019-01-17,0,2,0,2019,1,1,3,675.0,0.0
2019-01-24,0,2,0,2019,1,1,4,1559.0,0.0
2019-01-31,0,2,0,2019,1,2,5,1578.0,0.0
2019-02-07,0,2,0,2019,1,2,6,940.0,0.0
2019-02-14,0,2,0,2019,1,2,7,722.0,0.0
2019-02-21,0,2,0,2019,1,2,8,927.0,0.0
2019-02-28,0,2,0,2019,1,3,9,817.0,0.0
2019-03-07,0,2,0,2019,1,3,10,792.0,0.0
2019-03-14,0,2,0,2019,1,3,11,782.0,0.0
2019-03-21,0,2,0,2019,1,3,12,977.0,0.0
2019-03-28,0,2,0,2019,1,3,13,1751.0,0.0
2019-04-04,0,2,0,2019,2,4,14,564.0,0.0
2019-04-11,0,2,0,2019,2,4,15,973.0,0.0
2019-04-18,0,2,0,2019,2,4,16,0.0,0.0
2019-04-25,0,2,0,2019,2,4,17,0.0,0.0
2019-05-02,0,2,0,2019,2,5,18,0.0,0.0
2019-05-09,0,2,0,2019,2,5,19,0.0,0.0
2019-05-16,0,2,0,2019,2,5,20,0.0,0.0
2019-05-23,0,2,0,2019,2,5,21,0.0,0.0
2019-05-30,0,2,0,2019,2,6,22,0.0,0.0
2019-06-06,0,2,0,2019,2,6,23,0.0,0.0
2019-06-13,0,2,0,2019,2,6,24,0.0,0.0
2019-06-20,0,2,0,2019,2,6,25,0.0,0.0
2019-06-27,0,2,0,2019,2,6,26,0.0,0.0
2019-07-04,0,2,0,2019,3,7,27,0.0,0.0
2019-07-11,0,2,0,2019,3,7,28,0.0,0.0
2019-07-18,0,2,0,2019,3,7,29,0.0,0.0
2019-07-25,0,2,0,2019,3,7,30,0.0,0.0
2019-08-01,0,2,0,2019,3,8,31,0.0,0.0
2019-08-08,0,2,0,2019,3,8,32,0.0,0.0
2019-08-15,0,2,0,2019,3,8,33,0.0,0.0
2019-08-22,0,2,0,2019,3,8,34,0.0,0.0
2019-08-29,0,2,0,2019,3,9,35,0.0,0.0
2019-09-05,0,2,0,2019,3,9,36,0.0,0.0
2019-09-12,0,2,0,2019,3,9,37,0.0,0.0
2019-09-19,0,2,0,2019,3,9,38,0.0,0.0
2019-09-26,0,2,0,2019,3,9,39,0.0,0.0
2019-10-03,0,2,0,2019,4,10,40,0.0,0.0
2019-10-10,0,2,0,2019,4,10,41,0.0,0.0
2019-10-17,0,2,0,2019,4,10,42,0.0,0.0
2019-10-24,0,2,0,2019,4,10,43,0.0,0.0
2019-10-31,0,2,0,2019,4,11,44,0.0,0.0
2019-11-07,0,2,0,2019,4,11,45,0.0,0.0
2019-11-14,0,2,0,2019,4,11,46,0.0,0.0
2019-11-21,0,2,0,2019,4,11,47,0.0,0.0
2019-11-28,0,2,0,2019,4,12,48,0.0,0.0
2019-12-05,0,2,0,2019,4,12,49,0.0,0.0
2019-12-12,0,2,0,2019,4,12,50,0.0,0.0
2019-12-19,0,2,0,2019,4,12,51,0.0,0.0
2019-12-26,0,2,0,2019,4,12,52,0.0,0.0
2020-01-02,0,2,0,2020,1,1,1,0.0,0.0
2020-01-09,0,2,0,2020,1,1,2,0.0,0.0
2020-01-16,0,2,0,2020,1,1,3,0.0,0.0
2020-01-23,0,2,0,2020,1,1,4,0.0,0.0
2020-01-30,0,2,0,2020,1,2,5,0.0,0.0
2020-02-06,0,2,0,2020,1,2,6,0.0,0.0
2020-02-13,0,2,0,2020,1,2,7,0.0,0.0
2020-02-20,0,2,0,2020,1,2,8,0.0,0.0
2020-02-27,0,2,0,2020,1,3,9,0.0,0.0
2020-03-05,0,2,0,2020,1,3,10,0.0,0.0
2020-03-12,0,2,0,2020,1,3,11,0.0,0.0
2020-03-19,0,2,0,2020,1,3,12,0.0,0.0
2020-03-26,0,2,0,2020,1,3,13,0.0,0.0
2020-04-02,0,2,0,2020,2,4,14,0.0,0.0
2020-04-09,0,2,0,2020,2,4,15,0.0,0.0
2020-04-16,0,2,0,2020,2,4,16,0.0,0.0
2020-04-23,0,2,0,2020,2,4,17,0.0,0.0
2020-04-30,0,2,0,2020,2,5,18,0.0,0.0
2020-05-07,0,2,0,2020,2,5,19,0.0,0.0
2020-05-14,0,2,0,2020,2,5,20,0.0,0.0
2020-05-21,0,2,0,2020,2,5,21,0.0,0.0
2020-05-28,0,2,0,2020,2,6,22,0.0,0.0
2020-06-04,0,2,0,2020,2,6,23,0.0,0.0
2020-06-11,0,2,0,2020,2,6,24,0.0,0.0
2020-06-18,0,2,0,2020,2,6,25,0.0,0.0
2020-06-25,0,2,0,2020,2,6,26,0.0,0.0
2020-07-02,0,2,0,2020,3,7,27,0.0,0.0
2020-07-09,0,2,0,2020,3,7,28,0.0,0.0
2020-07-16,0,2,0,2020,3,7,29,0.0,0.0
2020-07-23,0,2,0,2020,3,7,30,0.0,0.0
2020-07-30,0,2,0,2020,3,8,31,0.0,0.0
2020-08-06,0,2,0,2020,3,8,32,0.0,0.0
2020-08-13,0,2,0,2020,3,8,33,0.0,0.0
2020-08-20,0,2,0,2020,3,8,34,0.0,0.0
2020-08-27,0,2,0,2020,3,9,35,0.0,0.0
2020-09-03,0,2,0,2020,3,9,36,0.0,0.0
2020-09-10,0,2,0,2020,3,9,37,0.0,0.0
2020-09-17,0,2,0,2020,3,9,38,0.0,0.0
2020-09-24,0,2,0,2020,3,9,39,0.0,0.0
2020-10-01,0,2,0,2020,4,10,40,0.0,0.0
2020-10-08,0,2,0,2020,4,10,41,0.0,0.0
2020-10-15,0,2,0,2020,4,10,42,0.0,0.0
2020-10-22,0,2,0,2020,4,10,43,0.0,0.0
2020-10-29,0,2,0,2020,4,11,44,0.0,0.0
2020-11-05,0,2,0,2020,4,11,45,0.0,0.0
2020-11-12,0,2,0,2020,4,11,46,0.0,0.0
2020-11-19,0,2,0,2020,4,11,47,0.0,0.0
2020-11-26,0,2,0,2020,4,12,48,0.0,0.0
2020-12-03,0,2,0,2020,4,12,49,0.0,0.0
2020-12-10,0,2,0,2020,4,12,50,0.0,0.0
2020-12-17,0,2,0,2020,4,12,51,0.0,0.0
2020-12-24,0,2,0,2020,4,12,52,0.0,0.0
2020-12-31,0,2,0,2020,4,12,53,0.0,0.0
2015-01-01,0,3,0,2015,1,1,1,102.0,0.0
2015-01-08,0,3,0,2015,1,1,2,2169.0,0.0
2015-01-15,0,3,0,2015,1,1,3,701.0,0.0
2015-01-22,0,3,0,2015,1,1,4,1173.0,0.0
2015-01-29,0,3,0,2015,1,2,5,743.0,0.0
2015-02-05,0,3,0,2015,1,2,6,408.0,0.0
2015-02-12,0,3,0,2015,1,2,7,1226.0,0.0
2015-02-19,0,3,0,2015,1,2,8,1275.0,0.0
2015-02-26,0,3,0,2015,1,3,9,1333.0,0.0
2015-03-05,0,3,0,2015,1,3,10,684.0,0.0
2015-03-12,0,3,0,2015,1,3,11,476.0,0.0
2015-03-19,0,3,0,2015,1,3,12,1020.0,0.0
2015-03-26,0,3,0,2015,1,3,13,854.0,0.0
2015-04-02,0,3,0,2015,2,4,14,1358.0,0.0
2015-04-09,0,3,0,2015,2,4,15,1681.0,0.0
2015-04-16,0,3,0,2015,2,4,16,1096.0,0.0
2015-04-23,0,3,0,2015,2,4,17,1092.0,0.0
2015-04-30,0,3,0,2015,2,5,18,1064.0,0.0
2015-05-07,0,3,0,2015,2,5,19,1083.0,0.0
2015-05-14,0,3,0,2015,2,5,20,1100.0,0.0
2015-05-21,0,3,0,2015,2,5,21,866.0,0.0
2015-05-28,0,3,0,2015,2,6,22,1551.0,0.0
2015-06-04,0,3,0,2015,2,6,23,1398.0,0.0
2015-06-11,0,3,0,2015,2,6,24,1065.0,0.0
2015-06-18,0,3,0,2015,2,6,25,965.0,0.0
2015-06-25,0,3,0,2015,2,6,26,1374.0,0.0
2015-07-02,0,3,0,2015,3,7,27,1398.0,0.0
2015-07-09,0,3,0,2015,3,7,28,1354.0,0.0
2015-07-16,0,3,0,2015,3,7,29,2079.0,0.0
2015-07-23,0,3,0,2015,3,7,30,1169.0,0.0
2015-07-30,0,3,0,2015,3,8,31,846.0,0.0
2015-08-06,0,3,0,2015,3,8,32,1222.0,0.0
2015-08-13,0,3,0,2015,3,8,33,722.0,0.0
2015-08-20,0,3,0,2015,3,8,34,1194.0,0.0
2015-08-27,0,3,0,2015,3,9,35,1462.0,0.0
2015-09-03,0,3,0,2015,3,9,36,1244.0,0.0
2015-09-10,0,3,0,2015,3,9,37,1477.0,0.0
2015-09-17,0,3,0,2015,3,9,38,1880.0,0.0
2015-09-24,0,3,0,2015,3,9,39,1714.0,0.0
2015-10-01,0,3,0,2015,4,10,40,1427.0,0.0
2015-10-08,0,3,0,2015,4,10,41,1393.0,0.0
2015-10-15,0,3,0,2015,4,10,42,1125.0,0.0
2015-10-22,0,3,0,2015,4,10,43,1866.0,0.0
2015-10-29,0,3,0,2015,4,11,44,1961.0,0.0
2015-11-05,0,3,0,2015,4,11,45,735.0,0.0
2015-11-12,0,3,0,2015,4,11,46,1164.0,0.0
2015-11-19,0,3,0,2015,4,11,47,1169.0,0.0
2015-11-26,0,3,0,2015,4,12,48,963.0,0.0
2015-12-03,0,3,0,2015,4,12,49,665.0,0.0
2015-12-10,0,3,0,2015,4,12,50,821.0,0.0
2015-12-17,0,3,0,2015,4,12,51,1739.0,0.0
2015-12-24,0,3,0,2015,4,12,52,1045.0,0.0
2015-12-31,0,3,0,2015,4,12,53,998.0,0.0
2016-01-07,0,3,0,2016,1,1,1,694.0,0.0
2016-01-14,0,3,0,2016,1,1,2,1855.0,0.0
2016-01-21,0,3,0,2016,1,1,3,1818.0,0.0
2016-01-28,0,3,0,2016,1,1,4,1373.0,0.0
2016-02-04,0,3,0,2016,1,2,5,1009.0,0.0
2016-02-11,0,3,0,2016,1,2,6,1351.0,0.0
2016-02-18,0,3,0,2016,1,2,7,741.0,0.0
2016-02-25,0,3,0,2016,1,2,8,1157.0,0.0
2016-03-03,0,3,0,2016,1,3,9,1557.0,0.0
2016-03-10,0,3,0,2016,1,3,10,2616.0,0.0
2016-03-17,0,3,0,2016,1,3,11,1784.0,0.0
2016-03-24,0,3,0,2016,1,3,12,1985.0,0.0
2016-03-31,0,3,0,2016,1,3,13,1866.0,0.0
2016-04-07,0,3,0,2016,2,4,14,1661.0,0.0
2016-04-14,0,3,0,2016,2,4,15,2305.0,0.0
2016-04-21,0,3,0,2016,2,4,16,2189.0,0.0
2016-04-28,0,3,0,2016,2,4,17,1942.0,0.0
2016-05-05,0,3,0,2016,2,5,18,1511.0,0.0
2016-05-12,0,3,0,2016,2,5,19,2033.0,0.0
2016-05-19,0,3,0,2016,2,5,20,1459.0,0.0
2016-05-26,0,3,0,2016,2,5,21,2608.0,0.0
2016-06-02,0,3,0,2016,2,6,22,862.0,0.0
2016-06-09,0,3,0,2016,2,6,23,1509.0,0.0
2016-06-16,0,3,0,2016,2,6,24,2029.0,0.0
2016-06-23,0,3,0,2016,2,6,25,2443.0,0.0
2016-06-30,0,3,0,2016,2,6,26,4221.0,0.0
2016-07-07,0,3,0,2016,3,7,27,890.0,0.0
2016-07-14,0,3,0,2016,3,7,28,2155.0,0.0
2016-07-21,0,3,0,2016,3,7,29,1815.0,0.0
2016-07-28,0,3,0,2016,3,7,30,3013.0,0.0
2016-08-04,0,3,0,2016,3,8,31,1061.0,0.0
2016-08-11,0,3,0,2016,3,8,32,901.0,0.0
2016-08-18,0,3,0,2016,3,8,33,1179.0,0.0
2016-08-25,0,3,0,2016,3,8,34,2386.0,0.0
2016-09-01,0,3,0,2016,3,9,35,3646.0,0.0
2016-09-08,0,3,0,2016,3,9,36,1434.0,0.0
2016-09-15,0,3,0,2016,3,9,37,1647.0,0.0
2016-09-22,0,3,0,2016,3,9,38,2643.0,0.0
2016-09-29,0,3,0,2016,3,9,39,1980.0,0.0
2016-10-06,0,3,0,2016,4,10,40,1346.0,0.0
2016-10-13,0,3,0,2016,4,10,41,1346.0,0.0
2016-10-20,0,3,0,2016,4,10,42,1360.0,0.0
2016-10-27,0,3,0,2016,4,10,43,1981.0,0.0
2016-11-03,0,3,0,2016,4,11,44,2126.0,0.0
2016-11-10,0,3,0,2016,4,11,45,2642.0,0.0
2016-11-17,0,3,0,2016,4,11,46,3554.0,0.0
2016-11-24,0,3,0,2016,4,11,47,1918.0,0.0
2016-12-01,0,3,0,2016,4,12,48,2119.0,0.0
2016-12-08,0,3,0,2016,4,12,49,1327.0,0.0
2016-12-15,0,3,0,2016,4,12,50,1683.0,0.0
2016-12-22,0,3,0,2016,4,12,51,1333.0,0.0
2016-12-29,0,3,0,2016,4,12,52,2759.0,0.0
2017-01-05,0,3,0,2017,1,1,1,788.0,0.0
2017-01-12,0,3,0,2017,1,1,2,1196.0,0.0
2017-01-19,0,3,0,2017,1,1,3,1458.0,0.0
2017-01-26,0,3,0,2017,1,1,4,1088.0,0.0
2017-02-02,0,3,0,2017,1,2,5,2957.0,0.0
2017-02-09,0,3,0,2017,1,2,6,1368.0,0.0
2017-02-16,0,3,0,2017,1,2,7,1566.0,0.0
2017-02-23,0,3,0,2017,1,2,8,1293.0,0.0
2017-03-02,0,3,0,2017,1,3,9,1851.0,0.0
2017-03-09,0,3,0,2017,1,3,10,3716.0,0.0
2017-03-16,0,3,0,2017,1,3,11,1914.0,0.0
2017-03-23,0,3,0,2017,1,3,12,2885.0,0.0
2017-03-30,0,3,0,2017,1,3,13,3978.0,0.0
2017-04-06,0,3,0,2017,2,4,14,2281.0,0.0
2017-04-13,0,3,0,2017,2,4,15,2268.0,0.0
2017-04-20,0,3,0,2017,2,4,16,2241.0,0.0
2017-04-27,0,3,0,2017,2,4,17,1735.0,0.0
2017-05-04,0,3,0,2017,2,5,18,1017.0,0.0
2017-05-11,0,3,0,2017,2,5,19,1960.0,0.0
2017-05-18,0,3,0,2017,2,5,20,2427.0,0.0
2017-05-25,0,3,0,2017,2,5,21,2960.0,0.0
2017-06-01,0,3,0,2017,2,6,22,3458.0,0.0
2017-06-08,0,3,0,2017,2,6,23,2185.0,0.0
2017-06-15,0,3,0,2017,2,6,24,2615.0,0.0
2017-06-22,0,3,0,2017,2,6,25,1987.0,0.0
2017-06-29,0,3,0,2017,2,6,26,2748.0,0.0
2017-07-06,0,3,0,2017,3,7,27,1467.0,0.0
2017-07-13,0,3,0,2017,3,7,28,1517.0,0.0
2017-07-20,0,3,0,2017,3,7,29,1230.0,0.0
2017-07-27,0,3,0,2017,3,7,30,1538.0,0.0
2017-08-03,0,3,0,2017,3,8,31,1518.0,0.0
2017-08-10,0,3,0,2017,3,8,32,1029.0,0.0
2017-08-17,0,3,0,2017,3,8,33,1552.0,0.0
2017-08-24,0,3,0,2017,3,8,34,1990.0,0.0
2017-08-31,0,3,0,2017,3,9,35,2002.0,0.0
